timesteps,updates,loss,policy_loss,value_loss,entropy,mean_return
8064,200,3.219980508685112,-0.10118333391845226,3.3382977536320686,1.7133911907672883,-28.325
8192,200,6.336383007764816,-0.06380179528146983,6.417063302397728,1.687846850156784,-25.624999999999993
8320,200,2.7190589088201524,-0.0848445034539327,2.820823764204979,1.692034537792206,-21.824999999999996
8448,200,5.906833862066269,-0.08620800639037043,6.009801096916199,1.6759224808216096,-25.774999999999995
8576,200,3.678302951157093,-0.07640119099523872,3.7713010084629057,1.659687464237213,-27.424999999999994
8704,200,3.2453122738003732,-0.06842605467420071,3.328513758778572,1.4775438195466994,-7.550000000000003
8832,200,2.9393932312726974,-0.05993068464100361,3.0149714452028276,1.5647522550821304,-15.775
8960,200,3.0869523724913597,-0.06838316141162068,3.170183414816856,1.4847887074947357,-11.400000000000002
9088,200,3.36900290876627,-0.08069512607064099,3.4659479880332946,1.6249932008981705,-23.425
9216,200,3.8883592373132707,-0.06277535917703063,3.9675841784477233,1.6449566555023194,-22.499999999999993
9344,200,7.579643988609314,-0.05076287843286991,7.64757710814476,1.717024205327034,-27.799999999999994
9472,200,3.4513608750700953,-0.07715308490674942,3.544482827782631,1.5968881171941758,-17.825
9600,200,5.231986032724381,-0.06364592887926847,5.312474749088287,1.6842784011363983,-19.674999999999997
9728,200,3.76503792822361,-0.051777429156936707,3.833070611357689,1.6255237883329392,-30.575
9856,200,5.056347634792328,-0.08145506498403847,5.153935230970383,1.6132509869337082,-17.325000000000003
9984,200,4.026646771430969,-0.07079239082988352,4.11298586010933,1.5546703624725342,-28.674999999999997
10112,200,2.3318291580677033,-0.07779971091076732,2.424563353061676,1.4934491151571274,-18.474999999999994
10240,200,1.466460868269205,-0.08374079978559167,1.5651201939582824,1.491852970123291,-25.775
10368,200,3.850719385743141,-0.07731138532049954,3.943476678133011,1.5445902913808822,-26.749999999999996
10496,200,2.6445318537950517,-0.07641291978769005,2.736205824017525,1.5261054229736328,-16.849999999999998
10624,200,2.917871005833149,-0.06652728504501283,2.9998898407816887,1.5491549903154374,-17.349999999999998
10752,200,2.4134639558196067,-0.07513116512913257,2.501831271648407,1.323615284562111,-20.724999999999994
10880,200,2.280039416849613,-0.07123008385300636,2.365794457197189,1.4524957996606827,-20.5
11008,200,5.315849865674973,-0.04867750256322324,5.379741362333298,1.521400738954544,-32.67499999999999
11136,200,3.119024972319603,-0.07053159416653215,3.2039136749506,1.4357095974683762,-13.0
11264,200,5.147556899785996,-0.0736709279473871,5.236263754963875,1.5035918587446213,-12.350000000000005
11392,200,5.6675000166893,-0.038763716639950874,5.721186534166336,1.492281318306923,-18.225
11520,200,3.864545826911926,-0.07393393435515463,3.954914852976799,1.6435100847482682,-8.325000000000003
11648,200,3.3337745547294615,-0.08005990402773022,3.43037100315094,1.6536543422937393,-17.325
11776,200,1.8145959251374006,-0.07982952060177922,1.910252946317196,1.5827509731054306,-13.000000000000007
11904,200,3.7454968094825745,-0.055960990660823884,3.8164499098062517,1.499211505651474,-27.699999999999992
12032,200,2.9962185153365137,-0.0673789589572698,3.0796781054139135,1.608062943816185,-15.200000000000006
12160,200,4.138625784516335,-0.07399362564086914,4.228860601186752,1.6241194212436676,-11.475000000000005
12288,200,1.1802560339123012,-0.0860405378928408,1.280960038304329,1.4663471180200576,-20.775
12416,200,1.846617388278246,-0.08306503158528358,1.9453832665085793,1.5700846511125564,-13.500000000000005
12544,200,3.375684911310673,-0.0560977699002251,3.4483459758758546,1.6563289564847947,-9.625000000000002
12672,200,1.9760748720169068,-0.08898460387252272,2.082570180892944,1.7510700953006744,-16.700000000000003
12800,200,5.3031975257396695,-0.06289832971058786,5.381273801326752,1.5177950221300125,-28.774999999999984
12928,200,3.7508666694164274,-0.07245136416517198,3.8380732107162476,1.4755184918642044,-18.174999999999997
13056,200,3.8276281213760375,-0.07426696938928216,3.9191789746284487,1.7283869725465775,-25.174999999999997
13184,200,3.1826907166838647,-0.0813436353392899,3.280237902402878,1.6203552573919295,-18.275
13312,200,5.398363481163979,-0.06312643294222653,5.477950623035431,1.646072096824646,-16.000000000000004
13440,200,2.740490908026695,-0.08501078631263226,2.8428836050629616,1.7381911313533782,-23.699999999999996
13568,200,4.833854537010193,-0.08051290398463606,4.932362304925919,1.7994884133338929,-19.899999999999995
13696,200,2.6463986924290657,-0.08761763735674322,2.752199592590332,1.818326192498207,-17.574999999999996
13824,200,3.278413286805153,-0.06587135065346957,3.3612133228778838,1.692867558002472,-36.025
13952,200,5.4124451565742495,-0.074085823004134,5.5044370305538175,1.7906044363975524,-22.874999999999993
14080,200,2.864760954678059,-0.08360359731595964,2.966096859276295,1.7732319670915604,-26.025
14208,200,3.607362498641014,-0.07376041369978338,3.6986575931310655,1.7534671807289124,-28.624999999999996
14336,200,7.14305294752121,-0.019373429091647267,7.180681135654449,1.8254757225513458,-16.700000000000003
14464,200,6.154866267442703,-0.059753010449931025,6.233062492609024,1.8443236869573594,-18.775
14592,200,6.143426460027695,-0.05661763644777238,6.218258391022682,1.8214282965660096,-26.474999999999998
14720,200,5.310734196901321,-0.06976739907637239,5.398593716621399,1.809212800860405,-38.099999999999994
14848,200,5.726470669507981,-0.03337549241259694,5.77701829791069,1.717214499115944,-30.674999999999994
14976,200,7.534287377595901,-0.04540360004175455,7.597251924276352,1.756098906993866,-26.974999999999998
15104,200,2.9558506789803505,-0.0796511148614809,3.053514384031296,1.801258500814438,-19.275
15232,200,4.994570840597152,-0.0666667491896078,5.0794939023256305,1.825630434155464,-26.649999999999995
15360,200,9.229443323612212,-0.06098522560670972,9.308676607608795,1.8248068779706954,-36.89999999999999
15488,200,6.052378828525543,-0.042816173774190246,6.112429029941559,1.723403612971306,-32.999999999999986
15616,200,4.1057299941778185,-0.06963837320217862,4.193856105804444,1.8487735021114349,-27.27499999999999
15744,200,3.2398319923877716,-0.08683524261694402,3.344707891345024,1.8040655905008316,-36.84999999999999
15872,200,5.949416364431381,-0.06936957453377544,6.037041330337525,1.8255419027805329,-20.774999999999988
16000,200,3.990203058719635,-0.056167025743052365,4.063864001631737,1.749388216137886,-29.149999999999988
16128,200,6.027959973812103,-0.053973737377673386,6.099899054169655,1.7965374886989594,-32.67499999999999
16256,200,2.731679927110672,-0.08468786143232138,2.8336051550507544,1.7237351393699647,-23.074999999999996
16384,200,6.617587015628815,-0.039811257417313756,6.67582950592041,1.8431258308887482,-39.349999999999994
16512,200,4.051458346247673,-0.07822029438801109,4.147064300179482,1.7385661649703978,-21.799999999999997
16640,200,4.87219908952713,-0.07959827140904963,4.968107233047485,1.6309860104322433,-23.724999999999994
16768,200,5.235240735411644,-0.05254443319980055,5.304702013731003,1.6916865277290345,-33.575
16896,200,6.899519839882851,-0.05193177429027855,6.968608772754669,1.7157181686162948,-26.299999999999997
17024,200,4.507956787347793,-0.0448679306730628,4.5683644396066665,1.5539722818136215,-18.500000000000004
17152,200,3.5957452762126922,-0.06777396285906434,3.679652179479599,1.613295516371727,-18.150000000000002
17280,200,2.8064607217907906,-0.07737659488804638,2.8996901369094847,1.5852808964252472,-17.200000000000003
17408,200,2.4734433951973913,-0.07066098514012992,2.561383468210697,1.7279087269306184,-19.175
17536,200,3.095253275334835,-0.06489612034521997,3.1764777117967604,1.6328319650888443,-16.275000000000002
17664,200,3.0111273142695425,-0.07780050805304199,3.105560325086117,1.6632504081726074,-18.200000000000003
17792,200,3.810524823665619,-0.05016862673684955,3.877237245440483,1.654378880262375,-33.925
17920,200,2.376653988957405,-0.07491772681474686,2.4687005016207695,1.7128790056705474,-23.075
18048,200,4.694540929198265,-0.06274341593496502,4.7746917700767515,1.74074294090271,-20.65
18176,200,3.5686932003498075,-0.08343008540105075,3.668803610801697,1.6680333697795868,-20.474999999999998
18304,200,2.5365891778469085,-0.06973787453025579,2.6235407984256742,1.7213750451803207,-19.6
18432,200,2.9037422347068786,-0.053222077605314555,2.972305038869381,1.534073414206505,-20.725
18560,200,2.0851893439888953,-0.07299754176288843,2.174233894050121,1.6047005200386046,-10.950000000000001
18688,200,2.895390862226486,-0.07410436457954347,2.9863267430663107,1.6831514650583268,-15.150000000000006
18816,200,4.875431379675865,-0.050225999858230355,4.942599747180939,1.6942378640174867,-28.72499999999999
18944,200,2.5320692947506904,-0.0701725840754807,2.6187419500947,1.650006166100502,-16.975
19072,200,2.842032416462898,-0.03341408792417497,2.892524834871292,1.7078333455324173,-26.774999999999995
19200,200,2.298376321196556,-0.09833556680940092,2.4132702416181564,1.6558356392383575,-14.975000000000001
19328,200,3.378901071250439,-0.07016072020865977,3.465905089378357,1.6843321973085403,-21.5
19456,200,4.344491730332375,-0.043778835060074926,4.405873544812202,1.760297167301178,-20.425
19584,200,3.6363179063796998,-0.06910368082113565,3.7222365778684616,1.6814998662471772,-18.549999999999997
